Index,Year,Name,RuTerm,RuTerm_filtered,YAKE
127,2017,Goryunova,"предметная область, отношения, онтология, классы, ассоциация, специализированная предметная область, понятия, опро, связь, роль","предметная область, отношения, онтология, классы, ассоциация, специализированная предметная область, понятия, опро, связь, роль","предметной области, предметной, специализированной предметной, области, ЯЗЫКА UML, ОНТОЛОГИЙ, ИСПОЛЬЗОВАНИЕ ЯЗЫКА, связана, модели предметной, классификации онтологий"
128,2017,Khokhlova,"n, биграмм, c, f, сравнение, работа, меры, mi, результаты, время","биграмм, сравнение, работа, меры, результаты, время, другие меры, данная мера, числительные, корпус","мера, биграмм, меры, мер, сочетаний, результаты, количество, данная мера, количество сочетаний, наибольшее количество"
129,2017,Kislov,"буквы, китай, китайский язык, значение, иероглиф, современный китайский язык, слово, цифры, языковой игра, китайское язык","буквы, китай, китайский язык, значение, иероглиф, современный китайский язык, слово, цифры, языковой игра, китайское язык","вместо, китайском языке, букв, китайского языка, языка, китайском, языке, Китае, иероглифов, китайского"
130,2017,Kriukova,"тексты, друг, близость текстов, значение, семантическая близость текстов, результат, оценка, близость, корпус, русский язык","тексты, друг, близость текстов, значение, семантическая близость текстов, результат, оценка, близость, корпус, русский язык","близости текстов, текстов, семантической близости, близости, метрик близости, DKPro Similarity, Similarity, семантической, оценки, метрик"
131,2017,Kurochkina,"коллокация, словари, база, кандидаты, коллокатор, золотое стандарт, слово, меры, группа, корпус","коллокация, словари, база, кандидаты, коллокатор, золотое стандарт, слово, меры, группа, корпус","коллокаций, Коллокации, устойчивых словосочетаний, слова, словарях, кандидаты, база, золотого стандарта, извлечения коллокаций, словосочетания"
132,2017,Martynenko,"частотные словари, порядковые статистики, порядковые статистика, таблы, статистика, состоятельность, ранжированный ряд, медиана, друг, статистические оценки","частотные словари, порядковые статистики, порядковые статистика, таблы, статистика, состоятельность, медиана, друг, статистические оценки, ранговое распределение","порядковых статистик, частотных словарей, объема выборки, объема, статистик, частотных, статистики, порядковых, словарей, выборки"
133,2017,Masevich,"середина, сталин, графика, продолжительные аплодисменты, рис, политическая лексика, частотность, словосочетание, слово, начало","середина, сталин, графика, продолжительные аплодисменты, политическая лексика, частотность, словосочетание, слово, начало, биграммы","Аплодисменты, Google Books, Продолжительные аплодисменты, Бурные аплодисменты, видно, Санкт-Петербургский государственный, сталинские, частотного поведения, период, временной период"
134,2017,Ogay,"частотные словари, визуализация, языковой информация, частность, работы, работа, авторские частотные словари, два учёных, частотность, использование","частотные словари, визуализация, языковой информация, частность, работы, работа, авторские частотные словари, частотность, использование, друг","МОДЕЛИРОВАНИЕ СЛОВАРЕЙ, СЛОВАРЕЙ ОПИСАНИЙ, языковой информации, ОПИСАНИЙ ДОКЕМБРИЙСКИХ, частотных словарей, ВЯИ, информации, СЛОВАРЕЙ, частотные словари, информации Важной"
135,2017,Popov,"чёрные лебеди, анализ, аномальные документы, поиск, задача, синтаксические связи, поиск аномалий, два лемм, вес документа, ход","чёрные лебеди, анализ, аномальные документы, поиск, задача, синтаксические связи, поиск аномалий, тексты, список, слово","ЧЕРНЫЕ ЛЕБЕДИ, слов, Задача, связей, ТЕКСТА, анализа, документов, аномалий, текстов, корпуса"
136,2017,Popova,"беседа, устная речь, такой образ, термин, случаи, работа, пример, материал, коллекция, единица","беседа, устная речь, такой образ, термин, случаи, работа, пример, материал, коллекция, единица","устной речи, речи, единиц, единицы, такой-сякой, Таким образом, единицы такой-сякой, Беседа, Эхо Москвы, коллекции НКРЯ"
